Number,involvementType,personID
MP20800436,VICTIM,4520
MP20010021,VICTIM,4521
MP20000499,VICTIM,4522
MP20010351,VICTIM,4523
MP20009598,VICTIM,4525
MP20009865,VICTIM,4526
MP20005051,VICTIM,4527
MP20009230,VICTIM,4528
MP20005797,VICTIM,4529
MP20007012,VICTIM,4530
MP20006594,VICTIM,4531
MP20002609,VICTIM,4532
MP20005785,VICTIM,4533
MP20002225,VICTIM,4534
MP20003551,VICTIM,4535
MP20004611,VICTIM,4536
MP20007229,VICTIM,4537
MP20009183,VICTIM,4538
MP20008608,VICTIM,4539
MP20000609,VICTIM,4540
MP20000040,VICTIM,4541
MP20006677,VICTIM,4542
MP20800832,VICTIM,4543
MP20007522,VICTIM,4544
MP20800207,VICTIM,4545
MP20008814,VICTIM,4546
MP20011245,VICTIM,4547
MP20800341,VICTIM,4548
MP20000315,VICTIM,4549
MP20006025,VICTIM,4550
MP20005136,VICTIM,4551
MP20009360,VICTIM,4552
MP20010415,VICTIM,4553
MP20006576,SUSPECT,4554
MP20008062,VICTIM,4555
MP20800249,VICTIM,4556
MP20006576,VICTIM,4557
MP20010774,VICTIM,4558
MP20007013,VICTIM,4559
MP20007031,VICTIM,4560
MP20011292,VICTIM,4561
MP20007643,VICTIM,4562
MP20010892,VICTIM,4563
MP20002721,VICTIM,4564
MP20009068,VICTIM,4565
MP20800110,VICTIM,4566
MP20007006,VICTIM,4567
MP20008110,VICTIM,4568
MP20011041,VICTIM,4569
MP20006764,VICTIM,4570
MP20008782,VICTIM,4571
MP20012049,VICTIM,4572
MP20801005,VICTIM,4573
MP20009428,VICTIM,4574
MP20011105,VICTIM,4575
MP20003916,VICTIM,4576
MP20011319,VICTIM,4577
MP20000886,VICTIM,4578
MP20800569,VICTIM,4579
MP20004572,SUSPECT,4580
MP20010593,VICTIM,4581
MP20010151,VICTIM,4582
MP20006132,VICTIM,4583
MP20008707,VICTIM,4584
MP20800600,VICTIM,4585
MP20006278,VICTIM,4586
MP20009308,VICTIM,4587
MP20004888,VICTIM,4588
MP20004331,VICTIM,4589
MP20006858,VICTIM,4590
MP20008214,VICTIM,4591
MP20002428,VICTIM,4592
MP20009496,VICTIM,4593
MP20007643,VICTIM,4594
MP20004464,VICTIM,4595
MP20001930,VICTIM,4596
MP20007349,VICTIM,4597
MP20007989,VICTIM,4598
MP20800709,VICTIM,4599
MP20005578,VICTIM,4600
MP20009140,VICTIM,4601
MP20009997,VICTIM,4602
MP20800366,VICTIM,4603
