CID,Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor,dateIncident,weekNumber,involvementType,personID,age,sex
MP20012107 - 243 (E)(1) PC,MP20012107,"Apr 30, 2020, 2:54:09 PM","Apr 30, 2020, 2:54:09 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MO,NULL,95351,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,4/30/2020,24,VICTIM,5252,42,FEMALE
MP20800775 - 488 PC,MP20800775,"Mar 20, 2020, 4:50:00 PM","Mar 19, 2020, 8:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,3020 FLOYD AVE,MODESTO,CALIFORNIA,95355,-120.9390697,37.67757413,0,0,0,NULL,MISDEMEANOR,3/20/2020,18,VICTIM,5253,42,FEMALE
MP20004238 - 243 (E)(1) PC,MP20004238,"Feb 11, 2020, 9:15:57 PM","Feb 11, 2020, 9:15:57 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95350,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,2/11/2020,13,VICTIM,5254,42,FEMALE
MP20001426 - 460 (A) PC,MP20001426,"Jan 16, 2020, 9:07:56 AM","Jan 16, 2020, 8:45:00 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1412 DEL MAR AVE,MODESTO,CALIFORNIA,95350,-121.0154112,37.65868209,1,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY,1/16/2020,9,VICTIM,5255,42,FEMALE
MP20003203 - 10851 VC,MP20003203,"Feb 1, 2020, 7:13:00 PM","Feb 1, 2020, 10:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,"WISDOM WAY, MO / MERLE AVE, MO ( 37/F3 )",NULL,NULL,NULL,-120.9555743,37.67081321,0,0,0,NULL,FELONY,2/1/2020,11,VICTIM,5256,42,MALE
MP20002973 - 245 (A)(1) PC,MP20002973,"Jan 30, 2020, 5:16:01 PM","Jan 30, 2020, 5:16:01 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,2800 SISK RD,MODESTO,CALIFORNIA,95350,-121.0484346,37.67961495,1,0,0,NULL,FELONY,1/30/2020,11,VICTIM,5257,42,MALE
MP20002973 - 10851 VC,MP20002973,"Jan 30, 2020, 5:16:01 PM","Jan 30, 2020, 5:16:01 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2800 SISK RD,MODESTO,CALIFORNIA,95350,-121.0484346,37.67961495,1,0,0,NULL,FELONY,1/30/2020,11,VICTIM,5257,42,MALE
MP20003051 - 460 (A) PC,MP20003051,"Jan 31, 2020, 10:26:10 AM","Jan 31, 2020, 10:26:10 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1513 CLAUD AVE,MODESTO,CA,95350,-121.0174298,37.67478101,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY,1/31/2020,11,VICTIM,5258,42,FEMALE
MP20007907 - 460 (B) PC,MP20007907,"Mar 16, 2020, 1:45:08 AM","Mar 16, 2020, 1:45:08 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,705 MC HENRY AVE,MO,NULL,95354,-120.9943325,37.65366606,1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY,3/16/2020,18,VICTIM,5259,42,FEMALE
MP20007907 - 10851 VC,MP20007907,"Mar 16, 2020, 1:45:08 AM","Mar 16, 2020, 1:45:08 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,705 MC HENRY AVE,MO,NULL,95354,-120.9943325,37.65366606,1,0,0,NULL,FELONY,3/16/2020,18,VICTIM,5259,42,FEMALE
