year,state_abbr,type,population,incidents,unemp
1987,WA,homicide,4538000,256,0.074
1987,WI,homicide,4807000,168,0.059
1987,WV,homicide,1897000,92,0.108
1987,WY,homicide,490000,10,0.081
1988,AK,homicide,513000,29,0.088
1988,AL,homicide,4127000,408,0.072
1988,AR,homicide,2422000,211,0.076
1988,AZ,homicide,3466000,294,0.064
1988,CA,homicide,28168000,2936,0.053
1988,CO,homicide,3290000,187,0.065
1988,CT,homicide,3241000,174,0.029
1988,DC,homicide,620000,369,0.05
1988,DE,homicide,660000,34,0.032
1988,FL,homicide,12377000,1416,0.051
1988,GA,homicide,6401000,748,0.057
1988,HI,homicide,1093000,44,0.032
1988,IA,homicide,2834000,47,0.045
1988,ID,homicide,999000,36,0.06
1988,IL,homicide,11544000,991,0.067
1988,IN,homicide,5575000,358,0.053
1988,KS,homicide,2487000,85,0.045
1988,KY,homicide,3721000,229,0.076
1988,LA,homicide,4420000,512,0.108
1988,MA,homicide,5871000,208,0.033
1988,MD,homicide,4644000,449,0.043
1988,ME,homicide,1206000,37,0.036
1988,MI,homicide,9300000,1009,0.075
1988,MN,homicide,4306000,124,0.043
1988,MO,homicide,5139000,413,0.057
1988,MT,homicide,804000,21,0.066
1988,NC,homicide,6526000,510,0.036
1988,ND,homicide,663000,12,0.047
1988,NE,homicide,1601000,58,0.036
1988,NH,homicide,1097000,25,0.024
1988,NJ,homicide,7720000,411,0.038
1988,NM,homicide,1510000,173,0.075
1988,NV,homicide,1060000,111,0.052
1988,NY,homicide,17898000,2244,0.043
1988,OH,homicide,10872000,585,0.061
1988,OK,homicide,3263000,243,0.064
1988,OR,homicide,2741000,139,0.058
1988,PA,homicide,12027000,660,0.051
1988,RI,homicide,995000,41,0.031
1988,SC,homicide,3493000,325,0.047
1988,SD,homicide,715000,22,0.041
1988,TN,homicide,4919000,461,0.058
1988,TX,homicide,16780000,2022,0.074
1988,UT,homicide,1691000,47,0.05
1988,VA,homicide,5996000,468,0.039
1988,VT,homicide,556000,11,0.03
1988,WA,homicide,4619000,264,0.063
1988,WI,homicide,4858000,144,0.044
1988,WV,homicide,1884000,93,0.099
1988,WY,homicide,471000,12,0.065
1989,AK,homicide,527000,42,0.07
1989,AL,homicide,4118000,421,0.07
1989,AR,homicide,2406000,203,0.07
1989,AZ,homicide,3556000,237,0.053
1989,CA,homicide,29063000,3158,0.051
1989,CO,homicide,3317000,146,0.057
1989,CT,homicide,3239000,190,0.038
1989,DC,homicide,604000,434,0.049
1989,DE,homicide,673000,34,0.035
1989,FL,homicide,12671000,1405,0.056
1989,GA,homicide,6436000,820,0.055
1989,HI,homicide,1112000,53,0.025
1989,IA,homicide,2840000,54,0.042
1989,ID,homicide,1014000,26,0.053
1989,IL,homicide,11658000,1051,0.06
1989,IN,homicide,5593000,353,0.048
1989,KS,homicide,2513000,138,0.042
1989,KY,homicide,3727000,293,0.064
1989,LA,homicide,4382000,653,0.08
1989,MA,homicide,5913000,254,0.041
1989,MD,homicide,4694000,544,0.038
1989,ME,homicide,1222000,39,0.04
1989,MI,homicide,9273000,993,0.071
1989,MN,homicide,4353000,111,0.043
