YrSt_ID,population,population_unemp,violent_crime,Unemp_Yr_Avg
1986 - AK,534000,58740.0,3046,11.0
1986 - AL,4053000,393141.0,22616,9.7
1986 - AR,2372000,203992.0,9365,8.6
1986 - AZ,3317000,228873.0,21835,6.9
1986 - CA,26981000,1807727.0,248370,6.7
1986 - CO,3267000,245025.0,17105,7.5
1986 - CT,3189000,124371.0,13578,3.9
1986 - DC,626000,46950.0,9423,7.5
1986 - DE,633000,27219.0,2703,4.3
1986 - FL,11675000,677150.0,121013,5.8
1986 - GA,6104000,366240.0,35869,6.0
1986 - HI,1062000,50976.0,2604,4.8
1986 - IA,2851000,193868.0,6703,6.8
1986 - ID,1003000,85255.0,2232,8.5
1986 - IL,11533000,957239.0,93454,8.3
1986 - IN,5504000,379776.0,16937,6.9
1986 - KS,2461000,130433.0,9076,5.3
1986 - KY,3728000,350432.0,12467,9.4
1986 - LA,4501000,576128.0,34128,12.8
1986 - MA,5832000,227448.0,32476,3.9
1986 - MD,4463000,205298.0,37177,4.6
1986 - ME,1174000,62222.0,1726,5.3
1986 - MI,9145000,804760.0,73517,8.8
1986 - MN,4214000,231770.0,11991,5.5
1986 - MO,5066000,314092.0,29310,6.2
1986 - MT,819000,64701.0,1289,7.9
1986 - NC,6331000,335543.0,30128,5.3
1986 - ND,679000,40061.0,348,5.9
1986 - NE,1598000,79900.0,4196,5.0
1986 - NH,1027000,28756.0,1433,2.8
1986 - NJ,7620000,381000.0,43623,5.0
1986 - NM,1479000,137547.0,10731,9.3
1986 - NV,963000,59706.0,6923,6.2
1986 - NY,17772000,1101864.0,175210,6.2
1986 - OH,10752000,892416.0,45260,8.3
1986 - OK,3305000,271010.0,14423,8.2
1986 - OR,2698000,218538.0,14830,8.1
1986 - PA,11889000,820341.0,42629,6.9
1986 - RI,975000,39975.0,3271,4.1
1986 - SC,3378000,216192.0,22789,6.4
1986 - SD,708000,32568.0,883,4.6
1986 - TN,4803000,379437.0,25919,7.9
1986 - TX,16682000,1468016.0,109925,8.8
1986 - UT,1665000,101565.0,4441,6.1
1986 - VA,5787000,289350.0,17708,5.0
1986 - VT,541000,23263.0,807,4.3
1986 - WA,4463000,361503.0,19505,8.1
1986 - WI,4785000,334950.0,12339,7.0
1986 - WV,1919000,226442.0,3156,11.8
1986 - WY,507000,45123.0,1486,8.9
1987 - AK,525000,54075.0,2391,10.3
1987 - AL,4083000,330723.0,22833,8.1
1987 - AR,2388000,193428.0,9839,8.1
1987 - AZ,3386000,220090.0,20742,6.5
1987 - CA,27663000,1604454.0,253943,5.8
1987 - CO,3296000,250496.0,15409,7.6
1987 - CT,3211000,109174.0,13455,3.4
1987 - DC,622000,39186.0,10016,6.3
1987 - DE,644000,19964.0,2774,3.1
1987 - FL,12023000,637219.0,123168,5.3
1987 - GA,6222000,354654.0,35868,5.7
1987 - HI,1083000,41154.0,2851,3.8
1987 - IA,2834000,155870.0,6553,5.5
1987 - ID,998000,75848.0,2138,7.6
1987 - IL,11582000,868650.0,92216,7.5
1987 - IN,5531000,342922.0,18169,6.2
1987 - KS,2476000,121324.0,8932,4.9
1987 - KY,3727000,316795.0,12589,8.5
1987 - LA,4461000,539781.0,30916,12.1
1987 - MA,5855000,187360.0,33060,3.2
1987 - MD,4535000,199540.0,34820,4.4
1987 - ME,1187000,52228.0,1806,4.4
1987 - MI,9200000,763600.0,71772,8.3
1987 - MN,4246000,216546.0,12118,5.1
1987 - MO,5103000,321489.0,27792,6.3
1987 - MT,809000,60675.0,1223,7.5
1987 - NC,6413000,288585.0,31039,4.5
1987 - ND,672000,33600.0,382,5.0
1987 - NE,1594000,70136.0,4004,4.4
1987 - NH,1057000,24311.0,1581,2.3
1987 - NJ,7672000,314552.0,41507,4.1
1987 - NM,1500000,130500.0,9427,8.7
1987 - NV,1007000,61427.0,7006,6.1
1987 - NY,17825000,873425.0,179691,4.9
1987 - OH,10784000,765664.0,45436,7.1
1987 - OK,3272000,238856.0,13664,7.3
1987 - OR,2724000,171612.0,14697,6.3
1987 - PA,11936000,680352.0,44087,5.7
1987 - RI,986000,35496.0,3547,3.6
1987 - SC,3425000,188375.0,22773,5.5
1987 - SD,709000,29778.0,849,4.2
1987 - TN,4855000,320430.0,25900,6.6
1987 - TX,16789000,1410276.0,105961,8.4
1987 - UT,1680000,104160.0,3861,6.2
1987 - VA,5904000,253872.0,17414,4.3
1987 - VT,548000,19728.0,748,3.6
1987 - WA,4538000,335812.0,19945,7.4
1987 - WI,4807000,283613.0,12014,5.9
1987 - WV,1897000,204876.0,2605,10.8
1987 - WY,490000,39690.0,1387,8.1
1988 - AK,513000,45144.0,2682,8.8
1988 - AL,4127000,297144.0,23052,7.2
1988 - AR,2422000,184072.0,10237,7.6
1988 - AZ,3466000,221824.0,21147,6.4
1988 - CA,28168000,1492904.0,261912,5.3
1988 - CO,3290000,213850.0,15548,6.5
1988 - CT,3241000,93989.0,14759,2.9
1988 - DC,620000,31000.0,11914,5.0
1988 - DE,660000,21120.0,2981,3.2
1988 - FL,12377000,631227.0,138343,5.1
1988 - GA,6401000,364857.0,42589,5.7
1988 - HI,1093000,34976.0,2810,3.2
1988 - IA,2834000,127530.0,7279,4.5
1988 - ID,999000,59940.0,2345,6.0
1988 - IL,11544000,773448.0,93557,6.7
1988 - IN,5575000,295475.0,21187,5.3
1988 - KS,2487000,111915.0,9083,4.5
1988 - KY,3721000,282796.0,12284,7.6
1988 - LA,4420000,477360.0,31711,10.8
1988 - MA,5871000,193743.0,36376,3.3
1988 - MD,4644000,199692.0,37466,4.3
1988 - ME,1206000,43416.0,1898,3.6
1988 - MI,9300000,697500.0,68980,7.5
1988 - MN,4306000,185158.0,12490,4.3
1988 - MO,5139000,292923.0,28393,5.7
1988 - MT,804000,53064.0,989,6.6
1988 - NC,6526000,234936.0,32753,3.6
1988 - ND,663000,31161.0,392,4.7
1988 - NE,1601000,57636.0,4374,3.6
1988 - NH,1097000,26328.0,1622,2.4
1988 - NJ,7720000,293360.0,44993,3.8
1988 - NM,1510000,113250.0,9938,7.5
1988 - NV,1060000,55120.0,8275,5.2
1988 - NY,17898000,769614.0,196396,4.3
1988 - OH,10872000,663192.0,49144,6.1
1988 - OK,3263000,208832.0,14179,6.4
1988 - OR,2741000,158978.0,14959,5.8
1988 - PA,12027000,613377.0,43534,5.1
1988 - RI,995000,30845.0,3947,3.1
