year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault
1989,AZ,3556000,21320,237,1286,,4944,14853
1989,CA,29063000,284136,3158,11966,,96431,172581
1989,CO,3317000,15636,146,1202,,2984,11304
1989,CT,3239000,16576,190,892,,6956,8538
1989,DC,604000,12937,434,186,,6542,5775
1989,DE,673000,3745,34,569,,934,2208
1989,FL,12671000,140575,1405,6299,,51188,81683
1989,GA,6436000,47357,820,3150,,17450,25937
1989,HI,1112000,3004,53,496,,925,1530
1989,IA,2840000,7563,54,459,,1108,5942
1989,ID,1014000,2582,26,236,,152,2168
1989,IL,11658000,98611,1051,4161,,39138,54261
1989,IN,5593000,22735,353,1804,,5671,14907
1989,KS,2513000,10073,138,917,,2508,6510
1989,KY,3727000,13302,293,917,,2836,9256
1989,LA,4382000,34257,653,1675,,10397,21532
1989,MA,5913000,39912,254,1881,,11980,25797
1989,MD,4694000,40152,544,1783,,15589,22236
1989,ME,1222000,1676,39,229,,293,1115
1989,MI,9273000,65760,993,6624,,20616,37527
1989,MN,4353000,12549,111,1363,,4128,6947
1989,MO,5159000,32634,409,1587,,10060,20578
1989,MT,806000,935,23,145,,137,630
1989,NC,6571000,35902,584,1964,,8770,24584
1989,ND,660000,417,4,78,,61,274
1989,NE,1611000,4503,40,381,,837,3245
1989,NH,1107000,1865,36,327,,264,1238
1989,NJ,7736000,47111,394,2449,,21139,23129
1989,NM,1528000,10755,132,702,,1607,8314
1989,NV,1111000,6947,91,662,,2784,3410
1989,NY,17950000,203042,2246,5242,,103983,91571
1989,OH,10907000,51109,652,4872,,18635,26950
1989,OK,3224000,15847,210,1209,,4070,10358
1989,OR,2820000,14625,134,1314,,4282,8895
1989,PA,12040000,45586,753,2963,,18025,23845
1989,RI,998000,3772,49,266,,1122,2335
1989,SC,3512000,28576,320,1632,,4574,22050
1989,SD,715000,969,9,229,,84,647
1989,TN,4940000,27118,417,2270,,7926,16505
1989,TX,16991000,111889,2029,7951,,37913,63996
1989,UT,1707000,4417,45,489,,898,2985
1989,VA,6098000,19057,480,1638,,6494,10445
1989,VT,567000,753,11,131,,102,509
1989,WA,4761000,22460,209,2938,,6672,12641
1989,WI,4867000,10834,176,993,,3659,6006
1989,WV,1857000,2724,121,347,,793,1463
1989,WY,475000,1227,21,134,,81,991
1990,AK,550043,2885,41,401,,422,2021
1990,AL,4040587,28630,467,1319,,5805,21039
1990,AR,2350725,12511,241,1019,,2661,8590
1990,AZ,3665228,23911,284,1500,,5897,16230
1990,CA,29760021,311051,3553,12688,,112208,182602
1990,CO,3294394,17328,138,1521,,2985,12684
1990,CT,3287116,18201,166,918,,7717,9400
1990,DC,606900,14919,472,303,,7365,6779
1990,DE,666168,4365,33,587,,1098,2647
1990,FL,12937926,160990,1379,6781,,53928,98902
1990,GA,6478216,48996,767,3472,,17067,27690
1990,HI,1108229,3113,44,360,,1013,1696
1990,IA,2776755,8321,54,510,,1089,6668
1990,ID,1006749,2776,27,275,,151,2323
1990,IL,11430602,110575,1182,4505,,45038,59850
1990,IN,5544159,26275,344,2103,,5619,18209
1990,KS,2477574,11093,98,1002,,2914,7079
1990,KY,3685296,14386,264,1068,,2545,10509
1990,LA,4219973,37914,724,1781,,11387,24022
1990,MA,6016425,44300,243,2030,,13062,28965
1990,MD,4781468,43940,552,2185,,17394,23809
1990,ME,1227928,1759,30,242,,308,1179
1990,MI,9295297,73468,971,7209,,21752,43536
1990,MN,4375099,13392,117,1487,,4057,7731
1990,MO,5117073,36602,449,1663,,11073,23417
1990,MT,799065,1273,39,195,,173,866
1990,NC,6628637,41332,711,2272,,10082,28267
1990,ND,638800,472,5,114,,50,303
1990,NE,1578385,5209,43,473,,807,3886
1990,NH,1109252,1459,21,386,,302,750
1990,NJ,7730188,50057,432,2307,,23269,24049
1990,NM,1515069,11821,139,753,,1744,9185
1990,NV,1201833,7222,116,748,,2864,3494
1990,NY,17990455,212458,2605,5368,,112380,92105
1990,OH,10847115,54904,663,5075,,20451,28715
1990,OK,3145585,17222,253,1479,,3836,11654
1990,OR,2842321,14405,108,1332,,4102,8863
1990,PA,11881643,51213,801,3068,,20930,26414
1990,RI,1003464,4334,48,248,,1224,2814
1990,SC,3486703,34050,390,1873,,5313,26474
1990,SD,696004,1133,14,239,,86,794
1990,TN,4877185,32698,511,2415,,9325,20447
1990,TX,16986510,129343,2389,8750,,44297,73907
1990,UT,1722850,4892,52,651,,980,3209
1990,VA,6187358,21694,545,1915,,7626,11608
1990,VT,562758,716,13,146,,66,491
1990,WA,4866692,24410,238,3115,,6326,14731
1990,WI,4891769,12948,225,1013,,5514,6196
1990,WV,1793477,3036,102,423,,680,1831
1990,WY,453588,1367,22,134,,72,1139
1991,AK,570000,3499,42,523,,645,2289
1991,AL,4089000,34518,469,1455,,6246,26348
1991,AR,2372000,14072,264,1058,,3217,9533
1991,AZ,3750000,25152,291,1590,,6215,17056
1991,CA,30380000,331122,3859,12896,,124939,189428
1991,CO,3377000,18887,199,1588,,3628,13472
1991,CT,3291000,17761,187,960,,7384,9230
1991,DC,598000,14671,482,214,,7269,6706
1991,DE,680000,4857,37,588,,1460,2772
1991,FL,13277000,157243,1248,6865,,53083,96047
1991,GA,6623000,48894,849,2800,,17762,27483
1991,HI,1135000,2744,45,375,,986,1338
1991,IA,2795000,8477,57,583,,1257,6580
1991,ID,1039000,3016,19,300,,215,2482
1991,IL,11543000,119955,1300,4615,,52653,61387
1991,IN,5610000,28349,423,2318,,6506,19102
1991,KS,2495000,12465,153,1118,,3453,7741
1991,KY,3713000,16262,253,1315,,3084,11610
1991,LA,4252000,40438,720,1738,,11860,26120
1991,MA,5996000,44138,249,1926,,11669,30294
1991,MD,4860000,46469,569,2229,,19783,23888
1991,ME,1235000,1631,15,270,,280,1066
1991,MI,9368000,75232,1009,7372,,22790,44061
1991,MN,4432000,14006,131,1762,,4345,7768
