Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP20006764,"Mar 5, 2020, 12:08:00 PM","Mar 5, 2020, 11:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3900 SISK RD,MO,,,-121.0612353,37.69278594,0,0,0,,FELONY
MP20006794,"Mar 5, 2020, 12:21:00 PM","Mar 5, 2020, 11:30:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,452 PARADISE RD,MO,,95351,-121.0131386,37.62649945,0,0,0,,FELONY
MP20006641,"Mar 4, 2020, 9:42:03 AM","Mar 2, 2020, 6:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,307 ASH ST,MODESTO,CALIFORNIA,95351,-121.0109328,37.6292861,0,0,0,,MISDEMEANOR
MP20006873,"Mar 6, 2020, 10:10:43 AM","Mar 5, 2020, 12:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,2804 NORA LN,MODESTO,CALIFORNIA,95355,-120.9627903,37.68047672,0,0,0,,FELONY
MP20006872,"Mar 6, 2020, 9:22:45 AM","Mar 4, 2020, 10:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,2841 PARK PL,MODESTO,CALIFORNIA,95350,-121.036751,37.68216493,0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20006854,"Mar 6, 2020, 7:11:56 AM","Mar 6, 2020, 7:11:56 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,"HACKBERRY AVE, MO / COLDWELL AVE, MO ( 41/F3 )",MODESTO,CALIFORNIA,95354,-121.0017677,37.6529498,1,0,0,,
MP20006849,"Mar 6, 2020, 5:43:05 AM","Mar 6, 2020, 5:30:00 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,2912 COLLEGE AVE,MODESTO,CALIFORNIA,95350,-121.0037858,37.68178207,0,0,0,,FELONY
MP20006819,"Mar 5, 2020, 7:48:41 PM","Mar 5, 2020, 7:48:41 PM",211 PC,211 PC ROBBERY 03 Robbery 853,1800 PRESCOTT RD,MODESTO,CALIFORNIA,95350,-121.0301546,37.67209369,0,0,0,,FELONY
MP20006858,"Mar 6, 2020, 8:03:10 AM","Mar 5, 2020, 7:30:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,3602 CHERRYGLEN WAY,MODESTO,CALIFORNIA,95356,-120.9798054,37.69204105,0,0,0,,FELONY
MP20006861,"Mar 6, 2020, 7:53:53 AM","Mar 5, 2020, 9:30:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,2201 JASMIN AVE,MODESTO,CALIFORNIA,95350,-120.9891534,37.6746514,0,0,0,,FELONY
MP20006136,"Feb 28, 2020, 5:20:00 PM","Feb 28, 2020, 4:30:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3405 MC HENRY AVE,MODESTO,CALIFORNIA,95350,-120.9961808,37.68737326,0,0,0,,FELONY
MP20006968,"Mar 6, 2020, 11:34:06 PM","Mar 6, 2020, 11:34:06 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2644 SAN IGNACIO AVE,MODESTO,CALIFORNIA,95354,-120.9463491,37.64018982,0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20800594,"Mar 4, 2020, 11:12:00 PM","Mar 4, 2020, 9:05:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3121 YOSEMITE BLVD,MODESTO,CALIFORNIA,95354,-120.9371786,37.63822093,0,0,0,,FELONY
MP20006677,"Mar 4, 2020, 2:36:31 PM","Mar 3, 2020, 4:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1310 WESTLAND DR,MODESTO,CALIFORNIA,95350,-121.0209042,37.66287945,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
