YrSt_ID,population,population_unemp,aggravated_assault,Unemp_Yr_Avg
2012 - OK,3815780,198421.0,13012,5.2
2012 - OR,3899801,343182.0,5969,8.8
2012 - PA,12764475,995629.0,25571,7.8
2012 - RI,1050304,109232.0,1614,10.4
2012 - SC,4723417,434554.0,19919,9.2
2012 - SD,834047,35864.0,1921,4.3
2012 - TN,6454914,503483.0,30615,7.8
2012 - TX,26060796,1746073.0,67227,6.7
2012 - UT,2854871,154163.0,3807,5.4
2012 - VA,8186628,491198.0,9131,6.0
2012 - VT,625953,31298.0,638,5.0
2012 - WA,6895318,558521.0,12285,8.1
2012 - WI,5724554,400719.0,10165,7.0
2012 - WV,1856680,139251.0,4623,7.5
2012 - WY,576626,30561.0,932,5.3
2013 - AK,737259,51608.0,3127,7.0
2013 - AL,4833996,348048.0,13788,7.2
2013 - AR,2958765,215990.0,9796,7.3
2013 - AZ,6634997,517530.0,17391,7.8
2013 - CA,38431393,3420394.0,89029,8.9
2013 - CO,5272086,363774.0,9826,6.9
2013 - CT,3599341,280749.0,4906,7.8
2013 - DC,649111,55174.0,3835,8.5
2013 - DE,925240,61991.0,2960,6.7
2013 - FL,19600311,1411222.0,61054,7.2
2013 - GA,9994759,819570.0,21361,8.2
2013 - HI,1408987,69040.0,2111,4.9
2013 - IA,3092341,148432.0,6332,4.8
2013 - ID,1612843,98383.0,2548,6.1
2013 - IL,12890552,1160150.0,28161,9.0
2013 - IN,6570713,505945.0,13915,7.7
2013 - KS,2895801,153477.0,7177,5.3
2013 - KY,4399583,351967.0,4215,8.0
2013 - LA,4629284,310162.0,16331,6.7
2013 - MA,6708874,449495.0,18118,6.7
2013 - MD,5938737,391957.0,16124,6.6
2013 - ME,1328702,89023.0,907,6.7
2013 - MI,9898193,871041.0,27254,8.8
2013 - MN,5422060,271103.0,6908,5.0
2013 - MO,6044917,405009.0,18056,6.7
2013 - MS,2992206,257330.0,4649,8.6
2013 - MT,1014864,54803.0,2217,5.4
2013 - NC,9848917,787913.0,21325,8.0
2013 - ND,723857,20992.0,1447,2.9
2013 - NE,1868969,71021.0,3011,3.8
2013 - NH,1322616,67453.0,1708,5.1
2013 - NJ,8911502,730743.0,12071,8.2
2013 - NM,2086895,143996.0,9470,6.9
2013 - NV,2791494,267983.0,10060,9.6
2013 - NY,19695680,1516567.0,46130,7.7
2013 - OH,11572005,867900.0,14370,7.5
2013 - OK,3853118,204215.0,11652,5.3
2013 - OR,3928068,310317.0,5596,7.9
2013 - PA,12781296,945816.0,23680,7.4
2013 - RI,1053354,97962.0,1547,9.3
2013 - SC,4771929,362667.0,17760,7.6
2013 - SD,845510,32129.0,2052,3.8
2013 - TN,6497269,506787.0,27895,7.8
2013 - TX,26505637,1669855.0,65351,6.3
2013 - UT,2902787,133528.0,3824,4.6
2013 - VA,8270345,471410.0,9111,5.7
2013 - VT,626855,27582.0,554,4.4
2013 - WA,6973742,488162.0,11623,7.0
2013 - WI,5742953,384778.0,9285,6.7
2013 - WV,1853595,126044.0,4242,6.8
2013 - WY,583223,27411.0,917,4.7
2014 - AK,737046,50856.0,3243,6.9
2014 - AL,4846411,329556.0,13744,6.8
2014 - AR,2966835,178010.0,10220,6.0
2014 - AZ,6728783,457557.0,16614,6.8
2014 - CA,38792291,2909422.0,91804,7.5
2014 - CO,5355588,267779.0,10211,5.0
2014 - CT,3594762,237254.0,4520,6.6
2014 - DC,659836,51467.0,4125,7.8
2014 - DE,935968,53350.0,2857,5.7
2014 - FL,19905569,1254051.0,61610,6.3
2014 - GA,10097132,716896.0,22415,7.1
2014 - HI,1420257,62491.0,1842,4.4
2014 - IA,3109481,130598.0,6227,4.2
2014 - ID,1634806,78471.0,2559,4.8
2014 - IL,12882189,914635.0,27485,7.1
2014 - IN,6597880,395873.0,14681,6.0
2014 - KS,2902507,130613.0,7299,4.5
2014 - KY,4412617,286820.0,4432,6.5
2014 - LA,4648990,297535.0,16400,6.4
2014 - MA,6755124,391797.0,18277,5.8
2014 - MD,5975346,346570.0,15208,5.8
2014 - ME,1330256,74494.0,889,5.6
2014 - MI,9916306,723890.0,27610,7.3
2014 - MN,5457125,229199.0,6729,4.2
2014 - MO,6063827,369893.0,18483,6.1
2014 - MS,2993443,224508.0,4585,7.5
2014 - MT,1023252,48093.0,2563,4.7
2014 - NC,9940387,626244.0,21377,6.3
2014 - ND,740040,19981.0,1421,2.7
2014 - NE,1882980,62138.0,3226,3.3
2014 - NH,1327996,57104.0,1469,4.3
2014 - NJ,8938844,607841.0,11188,6.8
2014 - NM,2085567,139733.0,8797,6.7
2014 - NV,2838281,224224.0,10562,7.9
2014 - NY,19748858,1244178.0,45295,6.3
2014 - OH,11596998,672626.0,14658,5.8
2014 - OK,3879610,174582.0,10937,4.5
2014 - OR,3971202,270042.0,6320,6.8
2014 - PA,12793767,754832.0,22304,5.9
2014 - RI,1054907,81228.0,1398,7.7
2014 - SC,4829160,313895.0,17513,6.5
2014 - SD,853304,29012.0,2101,3.4
2014 - TN,6547779,432153.0,29757,6.6
2014 - TX,26979078,1375933.0,65862,5.1
